Designator,Mid X,Mid Y,Rotation,Layer
R4A23,102.193727,-302.893972,90.0,bottom
R4A24,90.718727,-302.885401,90.0,bottom
R4A25,102.193727,-320.70183,90.0,bottom
R4A26,90.718727,-320.690401,90.0,bottom
R4A27,102.193727,-338.509687,90.0,bottom
R4A28,90.718727,-338.495401,90.0,bottom
R4A29,102.193727,-356.317544,90.0,bottom
R4A3,101.117554,-123.05522,270.0,bottom
R4A30,90.436101,-356.280401,90.0,bottom
R4A31,101.911101,-374.105401,90.0,bottom
R4A32,90.436101,-374.080401,90.0,bottom
R4A4,89.6711,-123.05522,270.0,bottom
R4A5,101.1469,-140.76044,270.0,bottom
R4A6,89.700446,-140.76044,270.0,bottom
R4A7,101.1469,-158.465659,270.0,bottom
R4A8,89.700446,-158.465659,270.0,bottom
R4A9,101.1469,-176.170879,270.0,bottom
R4B1,102.117554,-95.8,90.0,bottom
R4B10,90.700446,-166.620879,90.0,bottom
R4B11,102.0869,-184.206099,90.0,bottom
R4B12,90.700446,-184.326099,90.0,bottom
R4B13,102.1469,-213.82,90.0,bottom
R4B14,90.700446,-213.83,90.0,bottom
R4B15,102.1469,-231.63,90.0,bottom
R4B16,90.700446,-231.63,90.0,bottom
R4B17,101.143727,-258.975401,270.0,bottom
R4B18,89.386101,-258.955401,270.0,bottom
R4B19,101.143727,-276.783258,270.0,bottom
R4B2,90.6711,-95.8,90.0,bottom
R4B20,89.668727,-276.780401,270.0,bottom
R4B21,101.143727,-294.591115,270.0,bottom
R4B22,89.668727,-294.585401,270.0,bottom
R4B23,101.143727,-312.398972,270.0,bottom
R4B24,89.668727,-312.390401,270.0,bottom
R4B25,101.143727,-330.20683,270.0,bottom
R4B26,89.668727,-330.195401,270.0,bottom
R4B27,101.143727,-348.014687,270.0,bottom
R4B28,89.668727,-348.000401,270.0,bottom
R4B29,98.38,-363.68,0.0,bottom
R4B3,102.117554,-113.50522,90.0,bottom
R4B30,93.89,-363.66,180.0,bottom
R4B31,100.861101,-383.610401,270.0,bottom
R4B32,89.386101,-383.585401,270.0,bottom
R4B4,90.6711,-113.50522,90.0,bottom
R4B5,102.1469,-131.21044,90.0,bottom
R4B6,90.700446,-131.21044,90.0,bottom
R4B7,102.1469,-148.915659,90.0,bottom
R4B8,90.700446,-148.915659,90.0,bottom
R4B9,102.1469,-166.620879,90.0,bottom
RJ45-1,42.36227,-97.5825,0.0,bottom
RJ45-10,42.362308,-269.48092,0.0,bottom
RJ45-11,42.362308,-287.28092,0.0,bottom
RJ45-12,42.362308,-305.08092,0.0,bottom
RJ45-13,42.362308,-322.88092,0.0,bottom
RJ45-14,42.362308,-340.68092,0.0,bottom
RJ45-15,42.362308,-358.48092,0.0,bottom
RJ45-16,42.362308,-376.28092,0.0,bottom
RJ45-17,77.92227,-97.5825,0.0,bottom
RJ45-18,77.92227,-115.382184,0.0,bottom
RJ45-19,77.92227,-133.181868,0.0,bottom
RJ45-2,42.362308,-115.38092,0.0,bottom
RJ45-20,77.92227,-150.981552,0.0,bottom
RJ45-21,77.92227,-168.781236,0.0,bottom
RJ45-22,77.92227,-186.58092,0.0,bottom
RJ45-23,77.92227,-216.08092,0.0,bottom
RJ45-24,77.92227,-233.88092,0.0,bottom
RJ45-25,77.92227,-251.68092,0.0,bottom
RJ45-26,77.92227,-269.48092,0.0,bottom
RJ45-27,77.92227,-287.28092,0.0,bottom
RJ45-28,77.92227,-305.08092,0.0,bottom
RJ45-29,77.92227,-322.88092,0.0,bottom
RJ45-3,42.362308,-133.18092,0.0,bottom
RJ45-30,77.92227,-340.68092,0.0,bottom
RJ45-31,77.92227,-358.48092,0.0,bottom
RJ45-32,77.92227,-376.28092,0.0,bottom
RJ45-4,42.362308,-150.98092,0.0,bottom
RJ45-5,42.362308,-168.78092,0.0,bottom
RJ45-6,42.362308,-186.58092,0.0,bottom
RJ45-7,42.362308,-216.08092,0.0,bottom
RJ45-8,42.362308,-233.88092,0.0,bottom
RJ45-9,42.362308,-251.68092,0.0,bottom
SW1,62.215,-91.996983,90.0,bottom
SW10,64.9725,-137.281983,90.0,bottom
SW11,55.288564,-127.936076,90.0,bottom
SW12,55.600034,-137.091035,90.0,bottom
SW13,64.9825,-146.131983,90.0,bottom
SW14,64.91,-155.04,90.0,bottom
SW15,55.562466,-146.130948,90.0,bottom
SW16,55.62,-154.861459,90.0,bottom
SW17,65.135759,-163.76,90.0,bottom
SW18,64.892466,-172.605948,90.0,bottom
SW19,55.795,-163.686459,90.0,bottom
SW2,63.715,-100.996983,90.0,bottom
SW20,55.695,-172.605,90.0,bottom
SW21,64.367466,-181.435948,90.0,bottom
SW22,64.79,-190.395,90.0,bottom
SW23,55.22,-181.4,90.0,bottom
SW24,55.375,-190.386465,90.0,bottom
SW25,63.3655,-212.359483,90.0,bottom
SW26,63.4755,-221.191983,90.0,bottom
SW27,54.588,-212.221983,90.0,bottom
SW28,55.6755,-221.191983,90.0,bottom
SW29,63.5755,-229.991983,90.0,bottom
SW3,54.6175,-92.001983,90.0,bottom
SW30,64.3755,-238.741983,90.0,bottom
SW31,55.0755,-229.991983,90.0,bottom
SW32,55.6755,-238.791983,90.0,bottom
SW33,64.2825,-247.501983,90.0,bottom
SW34,64.91,-256.66,90.0,bottom
SW35,55.8825,-247.701983,90.0,bottom
SW36,57.1225,-256.741983,90.0,bottom
SW37,64.55,-265.48,90.0,bottom
SW38,64.5425,-274.371983,90.0,bottom
SW39,56.5225,-265.341983,90.0,bottom
SW4,55.57,-101.216983,90.0,bottom
SW40,56.9425,-274.571983,90.0,bottom
SW41,64.7425,-283.196983,90.0,bottom
SW42,64.4075,-292.146983,90.0,bottom
SW43,56.7425,-283.396983,90.0,bottom
SW44,56.6325,-292.351983,90.0,bottom
SW45,64.3625,-301.056983,90.0,bottom
SW46,64.1825,-309.916983,90.0,bottom
SW47,56.5575,-301.136983,90.0,bottom
SW48,56.3825,-310.116983,90.0,bottom
SW49,64.2925,-319.046983,90.0,bottom
